,train_size,train_set_type,accuracy,loss
148,150,diverse by cluster,0.6368,1.50842545337677
149,150,diverse by cluster,0.5489,1.3597378133773803
150,100,diverse by cluster,0.4863,1.7211497352600098
151,100,diverse by cluster,0.4965,1.5769071725845336
152,100,diverse by cluster,0.5564,1.5385210884094238
153,100,diverse by cluster,0.5724,1.4412433376312257
154,100,diverse by cluster,0.5452,1.6674076927185058
155,100,diverse by cluster,0.5346,1.407185537147522
156,100,diverse by cluster,0.4426,1.5920786689758302
157,100,diverse by cluster,0.4894,1.9406187749862671
158,100,diverse by cluster,0.4557,1.8847085800170897
159,100,diverse by cluster,0.5355,1.883923279953003
160,80,diverse by cluster,0.4919,1.5461545766830445
161,80,diverse by cluster,0.4501,1.8207402141571045
162,80,diverse by cluster,0.5106,1.552440107536316
163,80,diverse by cluster,0.5439,1.7058675579071045
164,80,diverse by cluster,0.5218,1.4915181772232056
165,80,diverse by cluster,0.4979,1.589489940071106
166,80,diverse by cluster,0.4762,1.5410831998825074
167,80,diverse by cluster,0.4817,1.549980603981018
168,80,diverse by cluster,0.4579,2.0091389333724976
169,80,diverse by cluster,0.5293,1.3691198207855224
170,60,diverse by cluster,0.4472,1.550061703491211
171,60,diverse by cluster,0.3796,2.0732266345977783
172,60,diverse by cluster,0.5,1.5351829652786255
173,60,diverse by cluster,0.5197,1.5979236471176148
174,60,diverse by cluster,0.5153,1.7903122900009156
175,60,diverse by cluster,0.444,1.6577186256408691
176,60,diverse by cluster,0.5035,1.6793507377624513
177,60,diverse by cluster,0.478,1.6858230703353883
178,60,diverse by cluster,0.4153,1.7250941946029663
179,60,diverse by cluster,0.5176,1.4906532920837403
180,40,diverse by cluster,0.4124,1.8257040157318116
181,40,diverse by cluster,0.4124,2.079310420227051
182,40,diverse by cluster,0.3606,1.9377853176116944
183,40,diverse by cluster,0.3749,2.4152049964904787
184,40,diverse by cluster,0.3913,1.8178742763519287
185,40,diverse by cluster,0.3271,2.1710724296569825
186,40,diverse by cluster,0.3902,1.9654967094421387
187,40,diverse by cluster,0.4644,1.792162903404236
188,40,diverse by cluster,0.4167,1.9654014289855957
189,40,diverse by cluster,0.4475,1.8176656436920167
190,20,diverse by cluster,0.2683,2.400698541641235
191,20,diverse by cluster,0.3249,2.0096810974121095
192,20,diverse by cluster,0.2951,1.9673505630493164
193,20,diverse by cluster,0.3275,1.9859663242340089
194,20,diverse by cluster,0.2542,2.2951034900665284
195,20,diverse by cluster,0.3613,1.8619145656585694
196,20,diverse by cluster,0.3134,1.9058248397827149
197,20,diverse by cluster,0.2597,2.1335681255340577
198,20,diverse by cluster,0.1586,2.668567738342285
199,20,diverse by cluster,0.3543,2.028643970870972
200,10,diverse by cluster,0.257,2.3107811420440676
201,10,diverse by cluster,0.2326,3.004087561416626
202,10,diverse by cluster,0.2368,3.0480487899780275
203,10,diverse by cluster,0.1789,2.6289288299560547
204,10,diverse by cluster,0.2926,2.042095846939087
205,10,diverse by cluster,0.2743,2.089948319244385
206,10,diverse by cluster,0.198,2.8330697761535646
207,10,diverse by cluster,0.2463,2.188624634552002
208,10,diverse by cluster,0.2632,2.1069574848175048
209,10,diverse by cluster,0.214,2.964432080459595
