,train_size,train_set_type,accuracy,loss
254,80,diverse by cluster,0.4737,1.4518308080673217
255,80,diverse by cluster,0.4603,1.497049160385132
256,80,diverse by cluster,0.4989,1.4554156614303588
257,80,diverse by cluster,0.4814,1.5112345699310303
258,80,diverse by cluster,0.5236,1.3480608625411987
259,80,diverse by cluster,0.5197,1.3551108852386475
260,60,diverse by cluster,0.375,1.6599374917984009
261,60,diverse by cluster,0.5006,1.4499196388244628
262,60,diverse by cluster,0.387,1.7342561618804933
263,60,diverse by cluster,0.3987,1.681968844795227
264,60,diverse by cluster,0.3901,1.689870743751526
265,60,diverse by cluster,0.4801,1.4561039783477783
266,60,diverse by cluster,0.4743,1.4447708284378051
267,60,diverse by cluster,0.3764,1.715000034713745
268,60,diverse by cluster,0.3784,1.7348436067581177
269,60,diverse by cluster,0.4193,1.6155020538330078
270,40,diverse by cluster,0.3318,1.8214690864562988
271,40,diverse by cluster,0.3543,1.8312171001434325
272,40,diverse by cluster,0.3846,1.7553982650756836
273,40,diverse by cluster,0.4041,1.7366544202804566
274,40,diverse by cluster,0.3462,1.787051167869568
275,40,diverse by cluster,0.34,1.9444020011901855
276,40,diverse by cluster,0.3817,1.7097170080184936
277,40,diverse by cluster,0.4165,1.594076240158081
278,40,diverse by cluster,0.2791,1.9605985004425048
279,40,diverse by cluster,0.393,1.6627838945388793
280,20,diverse by cluster,0.2624,2.048574764251709
281,20,diverse by cluster,0.2898,1.9505372425079346
282,20,diverse by cluster,0.2706,1.994809185409546
283,20,diverse by cluster,0.3093,1.9276128067016602
284,20,diverse by cluster,0.2913,2.0045912948608398
285,20,diverse by cluster,0.2752,1.9895868114471436
286,20,diverse by cluster,0.3274,1.889490431213379
287,20,diverse by cluster,0.259,2.0122016677856447
288,20,diverse by cluster,0.3081,2.0177441841125487
289,20,diverse by cluster,0.3169,1.936268607711792
290,10,diverse by cluster,0.1033,2.291998778152466
291,10,diverse by cluster,0.2483,2.0268664085388184
292,10,diverse by cluster,0.2343,2.125438437652588
